model,task,task_name,few_shot,seed,accuracy,macro_f1,weighted_f1,precision_per_class,recall_per_class,f1_per_class,train_time_s,inference_time_s,timestamp,notes
paper1_gnn,task1,Informativeness,50,42,0.771894,0.729934,0.751907,[],[],[],64.61,8.15,2026-03-04T00:29:45.571905,simulated
paper1_gnn,task1,Informativeness,50,123,0.741915,0.717235,0.730355,[],[],[],226.92,9.95,2026-03-04T00:29:45.572419,simulated
paper1_gnn,task1,Informativeness,50,456,0.772202,0.751584,0.780982,[],[],[],87.05,3.70,2026-03-04T00:29:45.572419,simulated
paper1_gnn,task1,Informativeness,50,789,0.780322,0.735349,0.749595,[],[],[],154.51,11.92,2026-03-04T00:29:45.573427,simulated
paper1_gnn,task1,Informativeness,50,1024,0.739859,0.710732,0.731227,[],[],[],207.28,9.79,2026-03-04T00:29:45.573427,simulated
paper1_gnn,task1,Informativeness,100,42,0.783644,0.750685,0.766510,[],[],[],139.01,6.07,2026-03-04T00:29:45.575058,simulated
paper1_gnn,task1,Informativeness,100,123,0.768508,0.739743,0.757071,[],[],[],179.78,3.98,2026-03-04T00:29:45.575582,simulated
paper1_gnn,task1,Informativeness,100,456,0.799967,0.766285,0.791988,[],[],[],60.09,9.89,2026-03-04T00:29:45.575582,simulated
paper1_gnn,task1,Informativeness,100,789,0.799123,0.761351,0.772280,[],[],[],284.31,4.41,2026-03-04T00:29:45.576591,simulated
paper1_gnn,task1,Informativeness,100,1024,0.769731,0.731505,0.744916,[],[],[],184.14,11.57,2026-03-04T00:29:45.577097,simulated
paper1_gnn,task1,Informativeness,250,42,0.828514,0.787987,0.806790,[],[],[],134.59,12.03,2026-03-04T00:29:45.577097,simulated
paper1_gnn,task1,Informativeness,250,123,0.817827,0.794166,0.814070,[],[],[],179.95,12.69,2026-03-04T00:29:45.577097,simulated
paper1_gnn,task1,Informativeness,250,456,0.845802,0.816451,0.836852,[],[],[],167.75,8.55,2026-03-04T00:29:45.577097,simulated
paper1_gnn,task1,Informativeness,250,789,0.811984,0.775583,0.789280,[],[],[],203.16,8.68,2026-03-04T00:29:45.578600,simulated
paper1_gnn,task1,Informativeness,250,1024,0.837424,0.814769,0.828689,[],[],[],166.60,12.21,2026-03-04T00:29:45.579162,simulated
paper1_gnn,task1,Informativeness,500,42,0.854784,0.833427,0.849934,[],[],[],259.67,8.97,2026-03-04T00:29:45.579162,simulated
paper1_gnn,task1,Informativeness,500,123,0.845292,0.800430,0.817565,[],[],[],181.33,3.04,2026-03-04T00:29:45.580166,simulated
paper1_gnn,task1,Informativeness,500,456,0.844031,0.815603,0.836457,[],[],[],297.74,7.71,2026-03-04T00:29:45.580166,simulated
paper1_gnn,task1,Informativeness,500,789,0.858718,0.836482,0.866219,[],[],[],231.41,11.68,2026-03-04T00:29:45.581669,simulated
paper1_gnn,task1,Informativeness,500,1024,0.865466,0.822298,0.836273,[],[],[],210.70,5.74,2026-03-04T00:29:45.581669,simulated
paper1_gnn,task2,Humanitarian,50,42,0.513758,0.470620,0.482101,[],[],[],96.49,10.33,2026-03-04T00:29:45.582676,simulated
paper1_gnn,task2,Humanitarian,50,123,0.499380,0.468626,0.480943,[],[],[],90.90,10.12,2026-03-04T00:29:45.583179,simulated
paper1_gnn,task2,Humanitarian,50,456,0.486552,0.456625,0.467896,[],[],[],134.19,5.47,2026-03-04T00:29:45.583179,simulated
paper1_gnn,task2,Humanitarian,50,789,0.498840,0.469511,0.486015,[],[],[],127.00,10.35,2026-03-04T00:29:45.583848,simulated
paper1_gnn,task2,Humanitarian,50,1024,0.512867,0.466251,0.485695,[],[],[],280.65,12.32,2026-03-04T00:29:45.583848,simulated
paper1_gnn,task2,Humanitarian,100,42,0.570713,0.547125,0.571390,[],[],[],108.44,9.36,2026-03-04T00:29:45.584852,simulated
paper1_gnn,task2,Humanitarian,100,123,0.570357,0.527228,0.547104,[],[],[],242.08,3.60,2026-03-04T00:29:45.585852,simulated
paper1_gnn,task2,Humanitarian,100,456,0.586443,0.550761,0.569312,[],[],[],156.95,13.49,2026-03-04T00:29:45.585852,simulated
paper1_gnn,task2,Humanitarian,100,789,0.551172,0.521741,0.541912,[],[],[],74.29,7.25,2026-03-04T00:29:45.585852,simulated
paper1_gnn,task2,Humanitarian,100,1024,0.561247,0.514020,0.529006,[],[],[],114.48,3.48,2026-03-04T00:29:45.586851,simulated
paper1_gnn,task2,Humanitarian,250,42,0.636422,0.609558,0.621097,[],[],[],177.37,4.54,2026-03-04T00:29:45.586851,simulated
paper1_gnn,task2,Humanitarian,250,123,0.598327,0.569635,0.582859,[],[],[],133.90,12.96,2026-03-04T00:29:45.586851,simulated
paper1_gnn,task2,Humanitarian,250,456,0.642418,0.598308,0.612039,[],[],[],77.82,6.30,2026-03-04T00:29:45.588354,simulated
paper1_gnn,task2,Humanitarian,250,789,0.633352,0.586575,0.607362,[],[],[],269.28,11.17,2026-03-04T00:29:45.588354,simulated
paper1_gnn,task2,Humanitarian,250,1024,0.592797,0.565959,0.584501,[],[],[],168.52,7.29,2026-03-04T00:29:45.589358,simulated
paper1_gnn,task2,Humanitarian,500,42,0.657987,0.613447,0.640661,[],[],[],259.68,12.80,2026-03-04T00:29:45.589358,simulated
paper1_gnn,task2,Humanitarian,500,123,0.652625,0.620102,0.634544,[],[],[],236.60,3.22,2026-03-04T00:29:45.590358,simulated
paper1_gnn,task2,Humanitarian,500,456,0.638904,0.615308,0.632061,[],[],[],82.00,2.29,2026-03-04T00:29:45.590358,simulated
